Name,Rating,Would Take Again (%),Difficulty,Department
Michael Runtz,4.7,92,2.4,Science
Abderahim Medjhoum,4.9,99,2.8,French
Fares Said,4.2,75,3.0,Statistics
Nigel Waltho,3.3,27,3.7,Biology
Andy Kusi-Appiah,2.6,38,3.2,Geography
Gregory (Greg) Franks,2.1,16,3.6,Engineering
Paul Wefers Bettink,1.5,0,3.3,Business
Melissa El Bitar,5.0,100,3.0,Business
Miguel Quintana,1.0,0,3.5,Business
Nasim Omidian,4.5,100,2.5,Communication
Wayne Horn,4.6,81,2.5,Statistics
Hal Goldman,4.4,84,3.0,History
Mengchi Liu,1.7,14,3.4,Computer Science
William Flynn,4.5,95,2.1,Sociology Anthropology
Ramon Cova,4.0,72,2.7,Mathematics
John Weekes,4.2,59,2.3,Psychology
Michael Runtz,4.9,95,2.0,Biology
Svetlana Obraztsova,1.1,2,4.7,Computer Science
Derek Grandsen,2.3,35,4.4,Engineering
Roger Rickwood,3.0,34,2.2,Law
Hicham Chaoui,4.5,89,2.1,Electrical Engineering & Computer Science
Jaclyn Neel,4.3,78,3.1,Classics
Mykyta Vesselovsky,3.7,88,3.8,Economics
Sheryl-Ann Simpson,3.3,54,2.4,Geography
Jake Chakasim,1.5,10,2.7,Architecture
Ibrahim Noureddine,3.6,70,2.7,Archaeology
Samira Farivar,4.0,70,2.8,Business
Susan Burhoe,5.0,100,2.0,Centre for Initiatives in Education
Majid Komeili,2.8,40,2.6,Computational Science
Leila Chinaei,4.8,100,1.8,Computer Science
Steve Tasson,4.1,64,2.9,Law
Brandon Fodden,4.9,99,2.3,Mathematics
Darryl Hill,4.1,84,3.1,Computer Science
Michiel Smid,4.3,80,3.5,Computer Science
Vojislav Radonjic,2.7,48,2.7,Computer Science
Kelly Lauzon,4.7,83,3.3,Law
Cynthia Cruickshank,4.6,86,2.3,Mechanical Engineering
Murray Sang,2.7,46,3.2,Business
Andrew Johnston,4.5,100,3.0,History
Gunnar Iversen,4.4,96,2.1,Film
Danial Saadatmand,2.6,34,3.6,Mathematics
Laura Horak,3.3,60,2.8,Film
Emmanuel Hogg,3.7,50,3.0,History
Esam Mahdi,2.1,25,2.6,Mathematics
Sarah Dorward,4.0,75,3.5,English
Robert Collier,3.4,57,3.2,Computer Science
Elena Devdariani,3.9,72,2.2,Mathematics
John Zelenski,3.8,38,2.9,Psychology
Brian Johnson,3.5,34,3.1,English
Farah Chanchary,2.6,44,3.5,Computer Science
Rong Liu,3.5,69,3.3,Engineering
Carlos Rossa,4.9,97,2.7,Systems & Computer Engineering
Matthew Holden,3.8,55,3.7,Computer Science
Hima Dhulipati,5.0,100,2.0,Engineering
Mohamed Elmasri,2.3,34,2.0,Statistics
David Sprague,1.5,9,4.6,Information Technology
Lynn Marshall,3.1,57,3.2,Engineering
Anil Somayaji,2.1,14,3.8,Computer Science
Gary Bazdell,3.0,53,3.3,Mathematics
Mehdi Eshaghi,3.8,68,3.2,Mechanical Engineering
Laura Gagne,3.7,69,3.0,Classics
Farhang Rajaee,3.3,29,3.3,Political Science
Allan Thompson,4.4,100,2.4,Journalism
